calories,proteins,fat,carbohydrate,name,calories_norm,proteins_norm,fat_norm,carbo_norm
110.0,1.4,2.1,21.4,Buah kelenting segar,0.11702127659574468,0.016867469879518072,0.021,0.033075734157650694
38.0,1.5,0.2,7.5,Buah kelor,0.04042553191489362,0.01807228915662651,0.002,0.011591962905718702
264.0,4.0,1.1,59.6,Buah kom segar,0.28085106382978725,0.04819277108433735,0.011000000000000001,0.09211746522411128
39.0,0.7,0.2,9.7,Buah Mentega (bisbul),0.04148936170212766,0.008433734939759036,0.002,0.01499227202472952
87.0,2.6,2.7,13.1,Buah merah,0.0925531914893617,0.03132530120481928,0.027000000000000003,0.02024729520865533
71.0,1.7,3.1,9.1,Buah Naga Merah segar,0.07553191489361702,0.020481927710843374,0.031000000000000003,0.014064914992272025
56.0,0.8,1.0,10.9,Buah Naga Putih segar,0.059574468085106386,0.00963855421686747,0.01,0.016846986089644512
55.0,1.2,0.1,12.2,Buah negri segar,0.05851063829787234,0.014457831325301205,0.001,0.018856259659969087
101.0,1.7,0.6,25.2,Buah Nona,0.1074468085106383,0.020481927710843374,0.006,0.03894899536321483
78.0,0.6,0.3,18.2,Buah rotan segar,0.08297872340425531,0.007228915662650603,0.003,0.02812982998454405
113.0,0.8,0.3,26.8,Buah rukam segar,0.12021276595744682,0.00963855421686747,0.003,0.04142194744976816
29.0,2.1,0.7,3.6,Buah ruruhi segar,0.030851063829787233,0.025301204819277112,0.006999999999999999,0.0055641421947449764
67.0,0.4,0.2,15.9,Buah tuppa segar,0.07127659574468086,0.004819277108433735,0.002,0.02457496136012365
365.0,49.6,4.8,30.8,Buaya daging dendeng mentah,0.38829787234042556,0.5975903614457831,0.048,0.04760432766615147
60.0,1.0,60.0,13.0,Bubur ,0.06382978723404255,0.012048192771084338,0.6,0.02009273570324575
167.0,0.2,4.0,33.0,Bubur sagu,0.1776595744680851,0.0024096385542168677,0.04,0.05100463678516229
156.0,2.3,0.2,15.6,Bubur tinotuan (Manado),0.16595744680851063,0.027710843373493974,0.002,0.0241112828438949
72.0,11.4,4.9,1.4,Bulgogi masakan,0.07659574468085106,0.13734939759036147,0.049,0.0021638330757341576
212.0,16.9,0.2,47.6,Bulung Jajan,0.225531914893617,0.20361445783132529,0.002,0.07357032457496136
237.0,14.7,0.2,56.0,Bulung Sangu,0.2521276595744681,0.17710843373493976,0.002,0.0865533230293663
35.0,2.4,0.2,7.7,Buncis,0.03723404255319149,0.02891566265060241,0.002,0.011901081916537867
60.0,5.1,0.5,8.5,Buncis asam,0.06382978723404255,0.06144578313253012,0.005,0.013137557959814528
30.0,2.2,0.2,6.4,Buncis rebus,0.031914893617021274,0.026506024096385545,0.002,0.009891808346213293
45.0,2.6,0.3,8.1,Bunga pepaya segar,0.047872340425531915,0.03132530120481928,0.003,0.012519319938176197
42.0,2.0,1.1,6.1,Bunga turi segar,0.04468085106382979,0.024096385542168676,0.011000000000000001,0.009428129829984543
333.0,29.3,3.3,50.0,Bungkil Biji Karet,0.35425531914893615,0.3530120481927711,0.033,0.07727975270479134
